Sample,Group,MnKa1,FeKa1_percent,ZnKa1,GaKa1,RbKa1,SrKa1,Y Ka1,ZrKa1,NbKa1,BaKa1,ThLa1
RGM-Solid1,Reference,196,1.3093,32,17,146,104,29,211,8,810,12
7150_1,Anillo,408,0.6317,44,22,159,142,17,118,16,905,19
7150_2,Anillo,405,0.6278,47,19,162,146,14,123,15,994,17
7150_4,Anillo,462,0.6681,49,17,159,138,18,111,12,1033,16
7151_3,Anillo,431,0.653,38,12,169,142,15,128,15,977,19
7151_1,Anillo,469,0.6506,41,12,168,147,20,119,15,831,17
7151_4,Anillo,575,0.7075,39,13,181,147,19,140,14,888,16
7151_2,Anillo,404,0.6645,42,20,179,142,18,138,13,940,25
7151_5,Anillo,393,0.5848,25,14,147,127,16,121,14,926,15
7152_1,Anillo,614,0.6484,37,18,161,130,16,119,18,792,22
7152_4,Anillo,503,0.6732,46,15,167,141,18,124,15,1018,21
7153_1,Anillo,519,0.7177,46,20,180,146,14,138,18,891,20
7160_1,Anillo,495,0.7342,42,21,224,106,18,108,21,368,23
7163_1,Anillo,535,0.7131,48,12,173,142,20,116,15,887,22
RGM-Solid2,Reference,180,1.3683,34,14,150,109,29,215,11,768,14
